Vendor,Product,Version,Vulnerabilities Fixed
UkrSolution,Barcode Generator for WooCommerce,Unknown,CVE-2025-24597
UkrSolution,Barcode Scanner with Inventory & Order Manager,Unknown,CVE-2025-22723
UkrSolution,Print Barcode Labels for your WooCommerce products/orders,Unknown,CVE-2025-24603
Ulrich Sossou,The Loops,Unknown,CVE-2025-23754
Union Bank of India,Vyom,8.0.34,CVE-2025-0575
Unknown,Banner Garden Plugin for WordPress,0,CVE-2025-0368
Unknown,LikeBot,0,CVE-2025-0522
Unknown,Sensei LMS,0,CVE-2025-0466
Uri Weil,WP Order By,Unknown,CVE-2025-22765
VMware,VMware Aria Automation,8.x,CVE-2025-22215
VMware,VMware Aria Operations,8.x,CVE-2025-22222
VMware,VMware Aria Operations for Logs,8.x,"CVE-2025-22218, CVE-2025-22219, CVE-2025-22220, CVE-2025-22221"
Vanderbilt,REDCap,14.9.6,"CVE-2025-23110, CVE-2025-23111, CVE-2025-23112, CVE-2025-23113"
Vasilis Triantafyllou,Easy WP Tiles,Unknown,CVE-2025-25073
Veeam,Backup for AWS,7.0,CVE-2025-23114
Veeam,Backup for Microsoft Azure,7.1,CVE-2025-23082
Venugopal,Show notice or message on admin area,Unknown,CVE-2025-25075
Venutius,BP Profile Shortcodes Extra,Unknown,CVE-2025-22817
Vertim Coders,Neon Product Designer,Unknown,CVE-2025-22799
Victor Barkalov,Custom Links On Admin Dashboard Toolbar,Unknown,CVE-2025-25135
Vikas Ratudi,VForm,Unknown,CVE-2025-24604
Viktoria Rei Bauer,WP-BlackCheck,Unknown,CVE-2025-23511
VillaTheme,Advanced Product Information for WooCommerce,Unknown,CVE-2025-22803
Vimal Ghorecha,RSS News Scroller,Unknown,CVE-2025-23467
Vincent Loy,Yet Another Countdown,Unknown,CVE-2025-23891
Vinícius Krolow,Twitter Post,Unknown,CVE-2025-23654
Virtual Computer,Vysual RH Solution,2024.12.1,CVE-2025-0458
W3speedster,W3SPEEDSTER,Unknown,CVE-2025-23765
WC Product Table,WooCommerce Product Table Lite,Unknown,CVE-2025-24596
WOOEXIM.COM,WOOEXIM,Unknown,"CVE-2025-22533, CVE-2025-23944"
WORDPRESTEEM,WE Blocks,Unknown,CVE-2025-22529
WOW WordPress,WOW Best CSS Compiler,Unknown,CVE-2025-23588
WP Attire,Attire Blocks,Unknown,CVE-2025-24696
WP Busters,Passwordless WP – Login with your glance or fingerprint,Unknown,CVE-2025-23792
WP Code Snippets (Luke America),WCS QR Code Generator,Unknown,CVE-2025-23864
WP Desk,Flexible PDF Coupons,Unknown,CVE-2025-22825
WP Go Maps (formerly WP Google Maps),WP Go Maps,Unknown,CVE-2025-24742
"WP OnlineSupport, Essential Plugin",Hero Banner Ultimate,Unknown,CVE-2025-22305
WP Scripts,Food Store – Online Food Delivery & Pickup,Unknown,CVE-2025-22314
WP Spell Check,WP Spell Check,Unknown,CVE-2025-25111
WP Tasker,WordPress Graphs & Charts,Unknown,CVE-2025-23961
WP Travel,WP Travel,Unknown,CVE-2025-22691
WP Wand,WP Wand,Unknown,CVE-2025-22302
WP24,WP24 Domain Check,Unknown,CVE-2025-24602
WPBits,WPBITS Addons For Elementor Page Builder,Unknown,CVE-2025-22316
WPChill,Htaccess File Editor,Unknown,CVE-2025-22773
WPChill,RSVP and Event Management Plugin,Unknown,CVE-2025-24683
WPDeveloper,NotificationX,Unknown,CVE-2025-22683
WPDeveloper,Typing Text,Unknown,CVE-2025-22315
WPExperts,User Management,Unknown,CVE-2025-22736
WPGear,Import Excel to Gravity Forms,Unknown,CVE-2025-24629
WPHocus,My auctions allegro,Unknown,CVE-2025-22733
WPMagic,News Publisher Autopilot,Unknown,CVE-2025-22557
WPSpins,Post/Page Copying Tool,Unknown,CVE-2025-24677
WWP,GMAPS for WPBakery Page Builder Free,Unknown,CVE-2025-23775
Walter Cerrudo,MFPlugin,Unknown,CVE-2025-23660
Web Ready Now,WR Price List Manager For Woocommerce,Unknown,CVE-2025-22782
WebArea,Background animation blocks,Unknown,CVE-2025-23948
WebDeal s.r.o.,Podčlánková inzerce,Unknown,CVE-2025-23697
WebToffee,Wishlist for WooCommerce,Unknown,CVE-2025-24657
WebToffee,"WooCommerce PDF Invoices, Packing Slips, Delivery Notes and Shipping Labels",Unknown,CVE-2025-24644
Webkul,QloApps,1.6.1,CVE-2025-1074
Western Telematic Inc,Network Power Switch (NPS Series),0,CVE-2025-0630
Widget Options Team,Widget Options,Unknown,CVE-2025-22722
Wikimedia Foundation,Mediawiki - ArticleFeedbackv5 extension,1.39.x,CVE-2025-23079
Wikimedia Foundation,Mediawiki - Breadcrumbs2 extension,1.39.x,CVE-2025-23078
Wikimedia Foundation,Mediawiki - DataTransfer Extension,1.39.x,CVE-2025-23081
